學校名稱,在學學生數-總計,在學學生數-男,在學學生數-女,延修人數-總計,延修人數-因畢業學分未修滿因素,延修人數-因未通過畢業門檻(條件)因素,延修人數-因修讀雙主修因素,延修人數-因修讀輔系因素,延修人數-因修讀跨校學位因素,延修人數-因出國學習因素,延修人數-因修讀教育學程(學分學程)因素,延修人數-其他因素,休學人數-總計,休學人數-因傷病,休學人數-因經濟困難,休學人數-因學業成績不佳,休學人數-因志趣不合,休學人數-因工作需求,休學人數-因懷孕,休學人數-因育嬰,休學人數-因兵役,休學人數-因出國,休學人數-因論文撰寫,休學人數-因適應不良,休學人數-因家人傷病,休學人數-因考試訓練,休學人數-因逾期未註冊、繳費、選課,休學人數-其他,退學人數-總計,退學人數-因成績不佳或曠課時數過多,退學人數-因操行成績,退學人數-因志趣不合,退學人數-因逾期未註冊,退學人數-因休學逾期未復學,退學人數-因懷孕,退學人數-因育嬰,退學人數-因傷病,退學人數-因工作需求,退學人數-因經濟困難,退學人數-因生涯規劃,退學人數-其他(不含死亡),總分,排名
國立中央大學,11822,7663,4159,212,119,44,13,1,0,27,8,0,1020,27,63,43,175,291,7,85,15,26,184,6,31,7,0,60,537,77,0,113,72,242,0,2,3,13,5,10,0,19.0–25.9,801–1000
國立中山大學,9563,5906,3657,266,139,66,11,3,0,29,4,14,1005,42,13,15,55,253,13,66,15,36,162,5,9,16,7,298,558,61,0,33,59,201,0,1,2,48,5,88,60,26.0–33.4,601–800
國立中正大學,11205,6276,4929,236,155,0,40,7,0,6,4,24,1086,49,33,40,158,244,12,73,8,46,206,12,71,57,3,74,619,110,1,133,65,273,0,0,5,21,2,2,7,,
國立中興大學,14983,8853,6130,328,298,13,9,2,0,2,4,0,1394,83,35,19,175,340,9,111,22,65,174,19,98,46,0,198,844,126,0,216,134,239,0,0,10,55,7,45,12,19.0–25.9,801–1000
國立勤益科技大學,11982,8900,3082,232,195,37,0,0,0,0,0,0,646,26,35,55,216,140,2,4,38,10,7,5,7,9,90,2,544,121,4,180,1,193,0,0,4,24,9,3,5,,
國立嘉義大學,11885,6115,5770,230,209,12,2,3,0,4,0,0,811,61,36,91,113,299,6,31,34,21,29,0,83,0,0,7,852,89,0,314,100,221,0,2,13,85,1,22,5,,
國立宜蘭大學,5419,3497,1922,126,113,13,0,0,0,0,0,0,306,22,6,26,42,76,2,7,31,16,19,27,10,7,0,15,348,46,0,126,36,114,0,0,1,6,0,19,0,,
國立屏東大學,8964,3642,5322,235,198,26,1,4,0,0,1,5,567,20,12,16,51,234,9,26,8,12,87,26,19,32,3,12,520,60,0,120,82,225,0,1,1,21,0,8,2,,
國立屏東科技大學,10863,5989,4874,364,246,108,0,0,0,2,5,3,724,49,21,65,83,168,5,22,10,15,14,161,71,32,2,6,609,95,0,162,75,224,0,0,8,17,2,26,0,,
國立彰化師範大學,8385,4268,4117,225,170,40,1,1,0,7,6,0,994,46,20,10,76,302,22,85,35,28,132,3,39,57,39,100,462,52,1,90,47,232,0,0,1,17,2,17,3,,
國立成功大學,21456,13497,7959,527,402,17,65,21,0,22,0,0,1930,92,33,69,225,344,13,161,28,4,186,32,177,51,7,508,1063,145,0,139,121,566,0,0,5,18,15,53,1,33.5–37.0,501–600
國立政治大學,16390,7263,9127,768,287,8,179,112,0,172,10,0,2261,87,12,0,17,517,16,198,40,97,156,0,0,0,438,683,629,65,0,119,5,408,0,0,5,22,1,3,1,19.0–25.9,801–1000
國立暨南國際大學,6108,2793,3315,201,111,42,11,13,0,13,8,3,472,58,33,29,21,145,5,25,7,19,48,13,58,11,0,0,293,36,0,18,42,118,0,0,0,9,0,70,0,,
國立東華大學,9907,4793,5114,422,341,38,10,4,0,20,7,2,1228,60,51,40,71,354,10,75,22,22,176,16,102,37,25,167,597,38,0,135,99,211,0,0,5,27,3,73,6,19.0–25.9,801–1000
國立清華大學,16678,9594,7084,418,175,51,28,22,0,35,10,97,1490,94,13,79,157,324,15,108,52,122,147,36,73,10,0,260,703,122,0,71,156,269,0,0,3,37,4,17,24,37.1–41.6,401–500
國立澎湖科技大學,3051,1782,1269,88,74,14,0,0,0,0,0,0,148,10,2,3,14,25,1,1,7,0,0,2,0,3,0,80,210,7,0,93,17,81,0,0,0,2,0,0,10,,
國立聯合大學,7588,5162,2426,210,192,17,0,0,0,0,0,1,336,16,6,36,109,76,0,4,25,10,10,7,8,15,4,10,535,104,1,213,68,131,0,0,0,5,0,13,0,,
國立臺中教育大學,4929,1667,3262,104,69,22,3,2,0,0,8,0,500,21,7,4,45,137,17,31,2,14,27,106,53,7,2,27,270,29,0,61,42,77,0,1,3,19,1,9,28,,
國立臺中科技大學,16071,4805,11266,297,176,119,1,1,0,0,0,0,607,51,25,21,140,171,10,18,14,27,7,9,6,8,8,92,573,91,1,167,101,166,0,0,2,18,2,6,19,,
國立臺北商業大學,7782,2356,5426,133,105,4,0,0,0,24,0,0,388,30,21,22,91,118,4,11,7,33,2,6,24,7,12,0,276,43,5,95,7,76,0,2,6,27,5,10,0,,
國立臺北大學,9954,4513,5441,269,152,4,63,12,0,31,7,0,794,23,18,23,94,308,8,26,9,66,88,13,25,26,0,67,477,99,0,114,34,136,0,0,2,53,4,22,13,19.0–25.9,801–1000
國立臺北教育大學,5790,1836,3954,156,102,1,4,4,0,33,12,0,678,24,12,5,75,210,10,70,12,45,120,13,38,9,20,15,303,33,0,72,120,1,0,3,5,44,5,12,8,,
國立臺北科技大學,13485,9816,3669,48,43,4,0,0,0,0,0,1,815,63,40,55,106,343,3,39,38,35,23,2,43,13,0,12,601,104,1,76,123,251,0,0,3,18,9,12,4,19.0–25.9,801–1000
國立臺北藝術大學,3098,1145,1953,217,153,33,1,12,0,0,18,0,532,32,39,33,18,93,9,28,10,68,119,38,3,5,1,36,171,17,0,6,22,76,0,0,1,25,0,24,0,,
國立臺北護理健康大學,5227,963,4264,95,72,20,2,1,0,0,0,0,513,21,20,5,40,135,21,61,2,23,79,15,20,12,4,55,233,10,0,41,33,76,0,1,2,9,0,40,21,,
國立臺南大學,5667,2519,3148,131,99,22,6,2,0,0,2,0,568,21,16,19,69,166,5,26,3,10,107,5,19,5,0,97,336,30,0,109,16,26,0,0,3,96,7,49,0,,
國立臺南藝術大學,1607,529,1078,47,33,14,0,0,0,0,0,0,272,4,11,6,11,56,2,15,2,16,49,48,16,0,0,36,125,14,0,30,5,27,0,0,1,12,1,21,14,,
國立臺南護理專科學校,1939,143,1796,21,18,3,0,0,0,0,0,0,32,6,2,1,17,4,2,0,0,0,0,0,0,0,0,0,34,5,2,15,3,7,0,0,0,0,0,2,0,,
國立臺東大學,4722,2163,2559,153,124,6,1,5,0,9,8,0,432,32,12,8,50,124,7,14,4,8,11,1,23,5,47,86,350,7,0,148,12,139,0,0,2,27,1,3,11,,
國立臺東專科學校,1120,689,431,39,39,0,0,0,0,0,0,0,127,4,14,7,47,24,1,1,10,0,0,14,5,0,0,0,200,9,7,63,34,70,0,0,0,8,0,4,5,,
國立臺灣大學,31945,19027,12918,1280,816,62,140,58,0,174,29,1,3640,204,67,20,405,598,11,209,32,269,698,14,0,12,13,1088,1324,164,0,135,426,428,0,0,1,43,1,15,111,55.5,170
國立臺灣師範大學,15716,6658,9058,532,401,58,25,13,0,3,32,0,2268,44,51,10,198,642,43,288,23,141,531,53,0,42,7,195,717,77,0,134,484,0,0,0,3,8,0,5,6,26.0–33.4,601–800
